product_id,address,price,area,bedrooms_num,bathrooms_num
40956867,"Thủ Đức, Hồ Chí Minh",140 triệu/tháng,220 m²,7,5
42143582,"Thanh Xuân, Hà Nội","8,5 triệu/tháng",45 m²,1,0
42143573,"Quận 2, Hồ Chí Minh",110 triệu/tháng,120 m²,0,0
42143569,"Quy Nhơn, Bình Định",9 triệu/tháng,50 m²,1,0
36681402,"Nam Từ Liêm, Hà Nội","7,5 triệu/tháng",60 m²,0,0
42143530,"Hà Đông, Hà Nội","11,5 triệu/tháng",91 m²,2,2
42143517,"Tân Bình, Hồ Chí Minh",25 triệu/tháng,100 m²,0,1
38799511,"Quận 7, Hồ Chí Minh",10 triệu/tháng,98 m²,3,2
42122908,"Tân Bình, Hồ Chí Minh","14,4 triệu/tháng",60 m²,0,0
42143342,"Vũng Tàu, Bà Rịa Vũng Tàu",9 triệu/tháng,140 m²,0,1
42133994,"Quận 9, Hồ Chí Minh",13 triệu/tháng,100 m²,0,0
42011787,"Ba Đình, Hà Nội",7 triệu/tháng,30 m²,1,1
41734512,"Hà Đông, Hà Nội",120 nghìn/m²,200 m²,0,0
42133890,"Cầu Giấy, Hà Nội",Giá thỏa thuận,108 m²,0,1
41840314,"Tây Hồ, Hà Nội","3,5 triệu/tháng",25 m²,1,0
42143021,"Quận 10, Hồ Chí Minh","5,5 triệu/tháng",32 m²,1,1
40183077,"Thuận An, Bình Dương","4,5 triệu/tháng",65 m²,2,2
41292883,"Bà Rịa, Bà Rịa Vũng Tàu",60 triệu/tháng,2.450 m²,0,0
42142846,"Bình Thạnh, Hồ Chí Minh",7 triệu/tháng,40 m²,1,1
36992110,"Nhà Bè, Hồ Chí Minh",11 triệu/tháng,70 m²,2,2
23980291,"Thanh Xuân, Hà Nội","4,8 triệu/tháng",28 m²,1,1
41160917,"Quận 7, Hồ Chí Minh",40 triệu/tháng,126 m²,0,0
41459618,"Thanh Xuân, Hà Nội","6,5 triệu/tháng",45 m²,1,1
37041041,"Quận 12, Hồ Chí Minh","6,5 triệu/tháng",57 m²,2,1
42142736,"Vũng Tàu, Bà Rịa Vũng Tàu",13 triệu/tháng,90 m²,3,3
41583084,"Bình Thạnh, Hồ Chí Minh","5,9 triệu/tháng",45 m²,1,1
42142690,"Quận 1, Hồ Chí Minh",5 triệu/tháng,20 m²,1,1
42101814,"Long Đất, Bà Rịa Vũng Tàu",150 triệu/tháng,4.000 m²,0,0
38749343,"Quận 1, Hồ Chí Minh",60 triệu/tháng,216 m²,0,0
42142397,"Hoàn Kiếm, Hà Nội",70 triệu/tháng,200 m²,0,0
35785407,"Gia Lâm, Hà Nội",15 triệu/tháng,120 m²,0,0
42142384,"Quận 10, Hồ Chí Minh",15 triệu/tháng,74 m²,2,2
40996174,"Tây Hồ, Hà Nội",23 triệu/tháng,82 m²,2,0
41989955,"Tân Phú, Hồ Chí Minh",11 triệu/tháng,65 m²,2,2
40031363,"Thuận An, Bình Dương",5 triệu/tháng,65 m²,2,2
36526605,"Quận 2, Hồ Chí Minh","3,8 triệu/tháng",25 m²,0,0
42142120,"Tây Hồ, Hà Nội",6 triệu/tháng,50 m²,2,1
40615489,"Quận 3, Hồ Chí Minh",250 triệu/tháng,"228,67 m²",5,5
41965181,"Thủ Dầu Một, Bình Dương",12 triệu/tháng,70 m²,2,2
42142018,"Tân Phú, Hồ Chí Minh",14 triệu/tháng,96 m²,2,2
42141881,"Quận 2, Hồ Chí Minh",33 triệu/tháng,70 m²,2,2
42141880,"Cầu Giấy, Hà Nội",90 triệu/tháng,110 m²,0,0
42141807,"Nam Từ Liêm, Hà Nội",60 triệu/tháng,150 m²,4,5
39426889,"Gò Vấp, Hồ Chí Minh",11 triệu/tháng,76 m²,2,2
42141175,"Phú Mỹ, Bà Rịa Vũng Tàu",16 triệu/tháng,"100,05 m²",4,5
42066584,"Bình Thạnh, Hồ Chí Minh",9 triệu/tháng,60 m²,0,0
40873563,"Nam Từ Liêm, Hà Nội",Giá thỏa thuận,15 m²,0,0
40982676,"Bình Thạnh, Hồ Chí Minh",18 triệu/tháng,85 m²,0,0
41924160,"Hải Châu, Đà Nẵng",180 nghìn/m²,200 m²,0,0
42010509,"Hải Châu, Đà Nẵng",150 nghìn/m²,200 m²,0,0
40380717,"Văn Giang, Hưng Yên","5,8 triệu/tháng",80 m²,5,4
42141455,"Bình Tân, Hồ Chí Minh",10 triệu/tháng,80 m²,2,2
42141539,"Quận 10, Hồ Chí Minh","7,5 triệu/tháng",30 m²,0,1
42141538,"Quận 2, Hồ Chí Minh",16 triệu/tháng,50 m²,1,1
40815782,"Tân Uyên, Bình Dương",25 triệu/tháng,85 m²,4,4
42141527,"Hoài Đức, Hà Nội",30 triệu/tháng,270 m²,4,4
42141451,"Quận 2, Hồ Chí Minh",16 triệu/tháng,76 m²,2,2
42141424,"Thuận An, Bình Dương","1,5 triệu/tháng",15 m²,0,0
40176858,"Cầu Giấy, Hà Nội",5 triệu/tháng,25 m²,1,1
42141355,"Hoài Đức, Hà Nội",60 triệu/tháng,625 m²,5,5
40213426,"Thuận An, Bình Dương","3,5 triệu/tháng",41 m²,1,1
42141171,"Quận 2, Hồ Chí Minh",23 triệu/tháng,100 m²,0,0
36990983,"Quận 2, Hồ Chí Minh",18 triệu/tháng,72 m²,2,0
40791243,"Quận 2, Hồ Chí Minh","6,5 triệu/tháng",30 m²,0,0
42140812,"Gò Vấp, Hồ Chí Minh",9 triệu/tháng,91 m²,2,2
38318494,"Quận 1, Hồ Chí Minh",70 triệu/tháng,240 m²,0,0
42140974,"Thanh Xuân, Hà Nội",18 triệu/tháng,130 m²,3,2
40982858,"Quận 7, Hồ Chí Minh","7,5 triệu/tháng",53 m²,1,1
42140925,"Tân Bình, Hồ Chí Minh",15 triệu/tháng,70 m²,2,2
39245010,"Quận 7, Hồ Chí Minh",11 triệu/tháng,70 m²,2,2
36195542,"Quận 7, Hồ Chí Minh",9 triệu/tháng,68 m²,2,2
42135333,"Quận 1, Hồ Chí Minh",30 triệu/tháng,52 m²,0,0
41515027,"Bình Tân, Hồ Chí Minh",8 triệu/tháng,75 m²,2,2
21835233,"Hoàn Kiếm, Hà Nội",390 nghìn/m²,135 m²,0,0
42140862,"Thủ Dầu Một, Bình Dương",7 triệu/tháng,53 m²,0,0
42140806,"Bình Tân, Hồ Chí Minh",Giá thỏa thuận,1.000 m²,0,0
41061243,"Quận 7, Hồ Chí Minh",22 triệu/tháng,88 m²,0,0
42022379,"Bình Tân, Hồ Chí Minh","6,5 triệu/tháng",36 m²,1,1
42122561,"Bắc Từ Liêm, Hà Nội",12 triệu/tháng,75 m²,2,2
41625687,"Hải Châu, Đà Nẵng",300 nghìn/m²,200 m²,0,6
41802207,"Cầu Giấy, Hà Nội",18 triệu/tháng,60 m²,2,0
42140533,"Bình Thạnh, Hồ Chí Minh","10,5 triệu/tháng",50 m²,2,1
42140520,"Vũng Tàu, Bà Rịa Vũng Tàu",6 triệu/tháng,50 m²,0,0
42139591,"Long Biên, Hà Nội",Giá thỏa thuận,90 m²,0,0
42140471,"Quận 2, Hồ Chí Minh",200 triệu/tháng,228 m²,7,5
42140266,"Hóc Môn, Hồ Chí Minh",80 triệu/tháng,400 m²,6,6
42140388,"Bình Thạnh, Hồ Chí Minh",12 triệu/tháng,62 m²,2,2
42140319,"Quận 1, Hồ Chí Minh","12,8 triệu/tháng",30 m²,0,0
42140308,"Cầu Giấy, Hà Nội",15 triệu/tháng,50 m²,2,1
42140208,"Quận 7, Hồ Chí Minh",50 triệu/tháng,200 m²,8,6
42140161,"Thanh Xuân, Hà Nội","14,5 triệu/tháng",88 m²,3,2
42140160,"Nhà Bè, Hồ Chí Minh",20 triệu/tháng,76 m²,0,1
42140148,"Quận 7, Hồ Chí Minh",14 triệu/tháng,70 m²,2,2
42140132,"Nhà Bè, Hồ Chí Minh","7,5 triệu/tháng",35 m²,1,1
42140026,"Bắc Từ Liêm, Hà Nội",13 triệu/tháng,99 m²,2,2
42139944,"Quận 2, Hồ Chí Minh",120 triệu/tháng,700 m²,0,0
42139940,"Quận 2, Hồ Chí Minh",22 triệu/tháng,85 m²,0,0
42139317,"Phan Thiết, Bình Thuận",4 triệu/tháng,32 m²,1,1
42139881,"Thuận An, Bình Dương",5 triệu/tháng,42 m²,1,1
41920880,"Hai Bà Trưng, Hà Nội",25 triệu/tháng,50 m²,0,0
42139789,"Bình Tân, Hồ Chí Minh","9,5 triệu/tháng",80 m²,2,2
42139783,"Thanh Xuân, Hà Nội",11 triệu/tháng,56 m²,3,3
42139788,"Thủ Đức, Hồ Chí Minh",65 triệu/tháng,190 m²,0,0
42139782,"Cái Răng, Cần Thơ",30 triệu/tháng,80 m²,4,4
40826414,"Nam Từ Liêm, Hà Nội",8 triệu/tháng,28 m²,1,1
42139593,"Biên Hòa, Đồng Nai","8,5 triệu/tháng",130 m²,3,2
37511849,"Cầu Giấy, Hà Nội","4,9 triệu/tháng",35 m²,0,0
41973010,"Quận 2, Hồ Chí Minh",28 triệu/tháng,120 m²,3,2
42137955,"Hóc Môn, Hồ Chí Minh",10 triệu/tháng,215 m²,0,1
42139542,"Quận 2, Hồ Chí Minh",64 triệu/tháng,167 m²,3,3
42139566,"Quận 2, Hồ Chí Minh",35 triệu/tháng,146 m²,3,2
42139534,"Cầu Giấy, Hà Nội",26 triệu/tháng,150 m²,0,1
42084847,"Quận 7, Hồ Chí Minh",10 triệu/tháng,71 m²,2,1
42139521,"Quận 7, Hồ Chí Minh",9 triệu/tháng,36 m²,2,1
41690775,"Thủ Đức, Hồ Chí Minh",9 triệu/tháng,100 m²,0,0
42139451,"Nam Từ Liêm, Hà Nội",65 triệu/tháng,157 m²,4,2
42139454,"Bình Chánh, Hồ Chí Minh","4,5 triệu/tháng",40 m²,1,1
33445777,"Ba Đình, Hà Nội",19 triệu/tháng,80 m²,2,2
42139436,"Quận 3, Hồ Chí Minh",7 triệu/tháng,35 m²,1,1
42139414,"Quận 3, Hồ Chí Minh",7 triệu/tháng,25 m²,1,1
42139340,"Bình Chánh, Hồ Chí Minh","3,5 triệu/tháng",15 m²,1,1
38060971,"Nam Từ Liêm, Hà Nội",10 triệu/tháng,100 m²,0,0
40240561,"Gò Dầu, Tây Ninh",70 nghìn/m²,1.728 m²,0,0
42139216,"Quận 2, Hồ Chí Minh",100 triệu/tháng,114 m²,6,5
41998597,"Bắc Từ Liêm, Hà Nội","2,6 triệu/tháng",30 m²,0,0
35523588,"Tân Phú, Hồ Chí Minh",11 triệu/tháng,65 m²,2,2
42138592,"Đống Đa, Hà Nội",60 triệu/tháng,450 m²,0,0
42131401,"Long Biên, Hà Nội",12 triệu/tháng,120 m²,3,3
41836632,"Quận 1, Hồ Chí Minh",18 triệu/tháng,72 m²,2,2
42138462,"Thủ Đức, Hồ Chí Minh",15 triệu/tháng,80 m²,0,1
41966131,"Quận 2, Hồ Chí Minh",30 triệu/tháng,94 m²,2,2
